Cargo_ID,Order_ID,Length_cm,Width_cm,Height_cm,Weight_kg,Category,Fragile,Destination_Zone,Priority,Stackable,Sorting_Sequence,Robotic_Pick_Position_X,Robotic_Pick_Position_Y,Robotic_Pick_Position_Z,Temperature_C,Humidity_%,Vibration_Level,Shock_Impact_g,Tilt_Angle_deg,GPS_Latitude,GPS_Longitude,Light_Exposure_lux,Battery_Level_%,Signal_Strength_dBm
CARGO_0795,ORDER_9,15.8,11.5,4.1,1.78,Beauty,True,Zone_A,3,False,58,0.4,20.6,2.9,10.54,53.78,3.64,0.42,18.96,12.503716,79.711247,205.77,71.6,-85.37
CARGO_0796,ORDER_1136,19.9,14.4,4.1,2.56,Toys,False,Zone_D,1,True,9,46.0,42.7,5.8,36.16,47.78,0.0,0.11,75.32,11.978439,78.617025,257.44,37.73,-68.18
CARGO_0797,ORDER_559,15.2,19.9,16.4,10.38,Sports,False,Zone_D,5,True,60,23.7,35.6,9.9,37.96,38.61,4.68,4.58,26.09,10.177745,77.094907,816.8,31.49,-66.64
CARGO_0798,ORDER_864,26.1,24.5,13.0,17.06,Toys,False,Zone_A,5,True,49,48.4,38.3,7.4,26.95,39.09,0.82,1.32,16.8,12.872813,79.780921,209.08,98.29,-72.93
CARGO_0799,ORDER_1032,11.6,11.3,1.7,0.41,Books,False,Zone_A,2,True,43,41.6,20.2,1.0,30.9,55.97,1.17,6.64,36.58,10.443352,79.106193,334.16,23.62,-89.25
CARGO_0800,ORDER_718,38.0,27.6,12.3,21.22,Toys,False,Zone_B,2,True,50,45.3,30.1,9.3,37.67,65.74,1.32,2.14,65.75,12.236704,78.242084,664.36,57.42,-86.6
CARGO_0801,ORDER_210,37.0,31.2,4.3,11.81,Toys,False,Zone_B,2,True,46,29.8,30.5,6.5,31.22,34.84,0.19,4.33,86.89,11.90841,78.795137,561.11,54.01,-83.14
CARGO_0802,ORDER_459,29.3,10.8,5.6,3.3,Toys,False,Zone_B,1,True,65,41.1,23.8,5.2,14.58,86.37,0.62,1.98,72.84,10.562584,78.289325,460.87,48.8,-99.38
CARGO_0803,ORDER_1056,31.0,24.4,3.2,5.77,Toys,False,Zone_D,2,True,39,6.8,10.6,7.8,27.29,75.31,4.93,5.48,84.63,10.512196,78.396018,899.74,82.56,-44.98
CARGO_0804,ORDER_965,5.9,9.7,8.4,0.8,Beauty,False,Zone_C,3,True,3,2.6,39.0,2.5,28.2,65.2,1.58,1.16,12.65,12.610983,79.66043,219.71,79.63,-58.83
CARGO_0805,ORDER_870,4.3,6.8,6.2,0.34,Beauty,False,Zone_B,4,True,27,9.0,37.1,6.9,22.72,79.71,0.58,0.23,6.41,11.259085,77.483253,741.42,92.42,-58.62
CARGO_0806,ORDER_685,6.3,22.2,7.3,2.39,Toys,False,Zone_D,3,True,7,13.3,29.2,1.7,32.09,34.81,0.53,0.51,50.19,11.96373,77.311007,159.06,51.64,-65.66
CARGO_0807,ORDER_470,11.4,12.5,1.0,0.31,Beauty,True,Zone_C,2,False,92,29.7,4.4,0.9,38.03,58.61,3.6,9.54,26.13,11.512213,77.008186,615.73,65.13,-58.64
CARGO_0808,ORDER_916,40.3,11.5,5.2,4.9,Electronics,False,Zone_B,1,True,15,18.4,42.9,9.4,37.77,67.81,4.27,1.42,74.52,12.182061,77.942001,870.62,91.38,-41.09
CARGO_0809,ORDER_420,32.4,18.6,19.8,21.82,Toys,False,Zone_A,2,True,22,24.3,24.0,6.1,23.53,79.72,1.28,7.08,60.48,11.437727,77.442241,457.9,99.51,-76.89
CARGO_0810,ORDER_395,33.8,5.8,19.0,8.09,Toys,False,Zone_A,4,True,78,18.2,8.2,3.5,13.4,77.01,0.1,0.68,87.37,10.86214,77.659956,724.29,97.54,-57.25
CARGO_0811,ORDER_161,41.2,12.6,11.4,11.88,Electronics,False,Zone_B,1,True,5,26.8,49.5,5.0,39.55,46.62,1.12,1.08,22.93,11.09015,77.033717,820.39,77.43,-78.43
CARGO_0812,ORDER_792,39.1,11.8,22.3,23.95,Sports,False,Zone_C,2,True,4,18.0,44.6,3.2,35.17,86.45,0.28,5.09,43.72,12.577233,77.681586,136.03,31.46,-48.74
CARGO_0813,ORDER_454,21.0,34.1,13.8,19.62,Toys,False,Zone_D,4,True,64,2.5,24.5,8.2,13.74,37.46,0.52,4.65,45.11,11.404104,77.998135,705.83,21.85,-48.52
CARGO_0814,ORDER_1008,22.8,20.0,8.0,7.21,Electronics,True,Zone_C,1,False,4,47.0,25.6,2.9,37.63,82.51,2.16,9.52,21.53,10.640348,77.094702,919.84,86.02,-45.86
CARGO_0815,ORDER_1119,14.7,7.0,3.3,0.72,Beauty,True,Zone_B,3,False,25,11.0,25.6,1.7,36.1,88.26,1.15,9.45,53.11,12.803816,78.823712,576.37,87.28,-99.67
CARGO_0816,ORDER_878,26.5,8.6,8.4,3.68,Toys,False,Zone_B,5,True,68,7.0,17.3,4.2,25.57,40.63,2.58,7.8,39.9,12.389801,78.706401,186.12,79.71,-82.11
CARGO_0817,ORDER_46,34.5,21.7,4.6,7.71,Electronics,True,Zone_C,3,False,50,29.5,25.0,0.4,27.74,73.32,1.27,6.02,40.2,10.166998,77.291107,126.94,42.39,-91.96
CARGO_0818,ORDER_590,12.0,10.6,8.0,1.72,Beauty,False,Zone_B,1,True,8,46.8,10.5,1.1,21.97,32.42,4.7,4.55,32.65,12.996829,78.785029,259.74,71.19,-72.76
CARGO_0819,ORDER_1152,23.6,19.0,4.6,3.84,Books,False,Zone_B,5,True,56,45.2,33.0,2.1,11.64,54.33,4.53,3.56,1.52,12.08478,79.995962,103.51,45.3,-70.27
CARGO_0820,ORDER_302,20.0,35.7,16.5,19.08,Electronics,True,Zone_C,1,False,82,37.5,16.7,8.5,20.06,60.98,2.83,9.47,46.99,10.4808,79.833407,513.39,56.05,-84.65
CARGO_0821,ORDER_890,32.5,12.2,7.1,4.92,Clothing,False,Zone_B,1,True,70,34.6,38.7,2.2,34.09,64.84,1.77,6.03,30.17,10.711503,77.008013,69.7,50.59,-56.59
CARGO_0822,ORDER_219,46.8,10.6,9.4,8.83,Electronics,True,Zone_D,3,False,29,1.1,33.7,4.1,10.14,86.16,1.91,5.79,0.12,12.077336,79.386135,223.4,93.09,-83.81
CARGO_0823,ORDER_717,59.1,21.8,41.3,113.27,Home_Appliances,False,Zone_D,3,False,17,15.0,30.0,5.3,20.0,70.34,2.06,2.32,27.71,12.339283,78.060816,439.91,38.73,-48.77
CARGO_0824,ORDER_129,15.1,30.7,16.9,15.34,Toys,False,Zone_C,3,True,81,38.2,3.4,5.8,21.95,58.88,3.64,0.47,25.08,10.717108,77.190954,473.91,66.21,-89.34
CARGO_0825,ORDER_1016,76.7,28.0,43.9,174.99,Home_Appliances,False,Zone_A,4,False,89,13.5,47.8,2.5,26.12,78.58,2.26,9.45,35.41,10.770907,77.88795,565.4,48.88,-77.97
CARGO_0826,ORDER_787,37.4,36.4,8.0,26.07,Electronics,True,Zone_B,3,False,66,47.8,34.0,7.9,37.6,87.03,4.28,3.14,11.87,10.921362,77.96521,705.61,73.05,-62.67
CARGO_0827,ORDER_1092,6.7,9.7,4.2,0.57,Clothing,False,Zone_D,1,True,99,23.7,26.5,6.1,20.39,31.32,4.72,4.43,45.69,11.794055,78.569733,47.23,65.17,-63.68
CARGO_0828,ORDER_706,28.9,21.5,3.1,3.39,Books,False,Zone_A,4,True,52,15.4,19.1,4.3,20.41,88.95,1.68,1.15,62.32,10.515449,78.983251,80.62,93.92,-95.32
CARGO_0829,ORDER_1086,3.6,10.9,7.5,0.7,Beauty,True,Zone_A,1,False,61,19.7,26.1,0.6,32.13,35.17,2.8,8.37,56.72,10.31273,79.247167,60.86,28.13,-49.22
CARGO_0830,ORDER_886,23.7,18.8,2.1,1.76,Books,False,Zone_D,3,True,1,47.0,30.3,6.1,23.57,78.86,0.48,0.28,72.34,12.036592,77.737709,423.15,37.65,-64.12
CARGO_0831,ORDER_461,10.1,9.0,13.3,2.34,Sports,False,Zone_C,1,True,3,21.3,8.3,6.3,16.74,46.82,1.0,8.34,40.68,12.337294,77.965312,41.85,81.31,-47.81
CARGO_0832,ORDER_759,18.3,38.6,19.6,29.72,Electronics,True,Zone_C,2,False,92,6.0,6.6,2.9,23.57,37.93,2.07,1.4,46.72,11.502788,77.925145,746.08,49.5,-47.94
CARGO_0833,ORDER_533,35.4,28.5,46.5,83.57,Home_Appliances,False,Zone_A,5,False,21,5.4,37.6,6.9,14.23,56.39,1.03,8.87,72.94,11.091498,78.088211,223.0,33.26,-67.24
CARGO_0834,ORDER_292,34.5,7.9,5.6,2.84,Clothing,False,Zone_A,4,True,32,27.4,2.7,4.8,15.29,68.64,4.38,7.3,38.49,11.296128,79.998969,939.21,60.27,-45.35
CARGO_0835,ORDER_512,55.4,52.0,27.3,167.49,Home_Appliances,False,Zone_A,2,False,47,39.8,27.7,6.9,24.95,52.86,0.79,1.65,63.14,11.165224,79.33383,486.4,72.17,-49.1
CARGO_0836,ORDER_1041,16.7,21.7,2.3,1.75,Books,False,Zone_D,4,True,24,20.3,45.0,8.0,22.57,33.27,2.28,5.66,39.11,12.879955,79.924971,446.33,23.59,-42.51
CARGO_0837,ORDER_129,12.0,13.4,1.6,0.43,Clothing,False,Zone_C,5,True,95,1.6,45.1,0.8,37.45,65.97,3.03,3.13,37.6,12.30427,79.079333,780.54,43.33,-48.97
CARGO_0838,ORDER_261,77.3,21.5,12.3,33.23,Home_Appliances,False,Zone_A,5,False,75,30.3,33.2,2.8,20.87,84.14,3.46,1.78,68.42,10.624262,78.218812,713.15,84.75,-50.73
CARGO_0839,ORDER_35,10.5,11.9,6.0,1.8,Beauty,True,Zone_A,4,False,36,24.3,11.3,1.9,27.42,52.99,1.92,8.59,15.74,11.152567,78.169233,607.31,61.62,-71.84
CARGO_0840,ORDER_998,16.7,14.0,3.9,1.49,Beauty,False,Zone_C,1,True,56,26.5,44.6,6.6,28.97,42.98,4.35,4.04,30.47,11.632037,78.465743,935.15,22.83,-87.28
CARGO_0841,ORDER_1130,52.1,29.2,18.4,57.27,Sports,False,Zone_A,3,False,56,46.4,37.2,7.0,10.39,56.55,2.84,3.99,20.18,11.838958,78.250609,422.26,42.56,-45.36
CARGO_0842,ORDER_201,6.4,10.9,1.1,0.17,Beauty,True,Zone_D,5,False,14,28.5,7.5,4.4,29.91,32.9,2.2,1.7,32.32,11.404552,79.484979,808.53,71.13,-56.65
CARGO_0843,ORDER_1010,10.4,25.2,5.5,3.37,Clothing,False,Zone_D,1,True,91,27.8,9.0,3.0,15.34,79.23,0.34,3.83,20.73,12.43038,78.395006,380.09,35.95,-83.1
CARGO_0844,ORDER_767,28.8,31.5,29.4,60.66,Sports,False,Zone_A,1,False,6,25.5,8.7,3.7,38.83,79.58,2.32,8.72,52.15,12.302818,77.886843,838.35,86.19,-79.54
CARGO_0845,ORDER_271,16.8,14.2,8.4,3.8,Beauty,True,Zone_D,2,False,62,6.0,44.2,2.0,14.46,65.28,4.1,3.63,71.84,11.515474,79.324581,259.47,74.13,-58.84
CARGO_0846,ORDER_762,16.6,21.8,7.1,4.96,Clothing,False,Zone_D,1,True,37,21.4,31.4,4.7,22.44,51.19,3.07,9.52,70.8,12.563288,79.563261,289.27,57.71,-71.33
CARGO_0847,ORDER_1031,75.3,43.9,29.3,223.29,Home_Appliances,False,Zone_A,2,False,24,22.3,16.7,0.4,12.56,77.99,4.16,9.46,32.81,12.253269,78.261287,677.87,93.25,-95.11
CARGO_0848,ORDER_304,17.5,27.4,3.3,3.41,Toys,False,Zone_C,3,True,60,26.7,23.3,7.4,39.91,63.28,2.47,1.45,88.99,12.335746,79.003426,212.71,51.34,-91.51
CARGO_0849,ORDER_751,4.3,11.6,5.7,0.63,Beauty,False,Zone_B,2,True,82,1.6,15.9,2.4,25.07,79.56,0.59,1.77,53.45,12.869202,77.176414,229.15,38.81,-55.26
CARGO_0850,ORDER_1038,45.2,11.8,11.7,11.76,Sports,False,Zone_B,2,True,46,42.8,40.1,2.6,27.86,67.89,0.07,8.63,35.95,10.799401,78.588395,305.26,72.91,-80.29
CARGO_0851,ORDER_294,19.9,10.9,5.0,2.3,Beauty,True,Zone_C,4,False,83,47.8,13.9,7.1,12.01,77.06,1.52,3.93,75.2,10.802944,77.134943,678.93,65.86,-69.54
CARGO_0852,ORDER_531,33.9,26.6,9.1,16.4,Clothing,False,Zone_D,2,True,87,17.1,0.3,7.9,32.5,65.91,3.49,0.04,65.69,12.666857,77.087573,889.39,46.82,-54.0
CARGO_0853,ORDER_500,40.3,30.9,27.8,73.92,Sports,False,Zone_C,2,False,97,28.4,23.0,9.4,16.3,54.85,3.95,2.74,67.43,12.316679,78.838775,674.57,47.49,-54.93
CARGO_0854,ORDER_629,20.7,26.6,32.5,33.44,Home_Appliances,False,Zone_D,5,True,53,32.5,4.7,6.4,36.94,87.48,1.48,5.98,17.65,12.779637,77.910006,827.81,51.86,-89.98
CARGO_0855,ORDER_899,18.0,9.5,6.0,2.2,Beauty,True,Zone_A,4,False,12,45.3,24.1,2.7,16.15,62.47,2.48,7.99,42.15,10.18939,79.227611,543.56,43.29,-94.1
CARGO_0856,ORDER_654,14.6,33.5,3.8,3.51,Toys,False,Zone_D,1,True,57,25.3,38.6,3.4,15.72,66.31,2.11,1.33,77.56,11.883271,79.688248,68.92,76.82,-64.53
CARGO_0857,ORDER_296,18.5,8.7,5.4,1.89,Beauty,True,Zone_A,1,False,84,6.1,16.4,3.3,11.1,43.23,2.05,1.11,45.36,10.433885,77.418174,100.47,72.11,-55.5
CARGO_0858,ORDER_919,17.3,10.0,1.3,0.39,Books,False,Zone_A,4,True,45,43.0,29.2,4.9,24.16,67.54,1.16,9.22,61.51,11.511692,79.173569,554.39,55.26,-91.06
CARGO_0859,ORDER_553,41.4,39.6,3.7,11.46,Electronics,True,Zone_A,3,False,57,29.0,11.3,8.3,26.95,64.3,0.68,7.51,52.91,10.467241,78.54356,327.8,51.83,-77.68
CARGO_0860,ORDER_620,35.8,6.2,2.6,1.38,Toys,False,Zone_A,4,True,31,2.9,31.8,2.3,11.97,41.09,0.98,5.9,75.81,10.384236,77.336358,220.57,49.2,-47.78
CARGO_0861,ORDER_839,26.7,17.1,9.1,8.73,Electronics,True,Zone_D,1,False,19,15.4,32.7,3.0,33.27,33.58,0.28,7.69,25.61,10.036505,78.954778,466.26,42.68,-43.35
CARGO_0862,ORDER_473,55.1,9.1,23.0,24.27,Sports,False,Zone_A,1,True,1,13.4,42.8,2.9,23.6,66.26,0.99,4.29,51.79,11.890716,78.8284,666.5,26.86,-72.76
CARGO_0863,ORDER_89,43.0,6.2,18.3,11.1,Electronics,True,Zone_A,1,False,69,28.6,40.0,6.2,25.73,75.82,0.05,7.58,11.09,11.077068,78.546926,384.99,41.46,-95.23
CARGO_0864,ORDER_895,22.1,16.5,1.8,1.22,Books,False,Zone_B,1,True,7,41.6,46.2,2.2,23.22,61.4,3.14,3.72,62.12,10.315565,79.779414,802.54,45.7,-84.54
CARGO_0865,ORDER_1168,9.2,11.6,4.8,0.93,Beauty,False,Zone_A,1,True,88,7.2,25.7,3.4,22.02,43.61,1.58,2.44,65.88,10.968513,78.563239,738.52,63.81,-86.02
CARGO_0866,ORDER_697,14.6,9.9,9.5,2.3,Beauty,False,Zone_D,2,True,59,28.5,38.3,0.3,26.79,69.99,4.87,7.29,3.86,10.506832,79.971545,734.91,81.9,-85.66
CARGO_0867,ORDER_940,67.7,38.5,14.5,62.43,Home_Appliances,False,Zone_D,1,False,21,12.9,47.4,4.6,14.66,34.81,0.97,4.2,60.82,12.825084,78.527686,985.19,51.66,-70.37
CARGO_0868,ORDER_801,44.4,59.1,45.0,242.9,Home_Appliances,False,Zone_C,5,False,80,28.3,38.8,1.9,15.46,56.51,1.73,9.81,37.32,10.960015,77.347556,295.23,95.58,-65.01
CARGO_0869,ORDER_381,13.0,24.7,4.3,3.22,Books,False,Zone_C,4,True,26,47.5,18.4,0.3,35.85,39.8,1.79,3.49,11.17,11.001861,78.411414,644.73,86.19,-92.65
CARGO_0870,ORDER_23,48.8,36.8,15.3,63.29,Home_Appliances,False,Zone_A,3,False,15,35.4,6.0,6.8,38.38,41.07,0.04,9.22,37.79,12.519574,77.546986,855.48,98.78,-46.64
CARGO_0871,ORDER_168,35.7,35.4,40.6,98.49,Home_Appliances,False,Zone_C,5,False,88,13.9,42.9,0.0,21.2,42.14,4.2,9.33,17.48,11.943267,78.7914,579.52,90.1,-62.8
CARGO_0872,ORDER_48,14.3,9.9,4.4,1.34,Beauty,True,Zone_A,5,False,9,20.7,15.0,0.4,18.12,53.2,0.16,2.42,37.4,12.130515,79.079397,789.5,69.34,-64.16
CARGO_0873,ORDER_91,8.3,14.3,2.2,0.51,Clothing,False,Zone_B,5,True,24,23.7,14.0,3.8,29.32,33.07,4.7,7.98,34.59,11.908005,78.405306,414.45,67.88,-40.76
CARGO_0874,ORDER_391,5.2,9.5,6.2,0.58,Beauty,True,Zone_C,5,False,93,16.5,35.7,4.9,22.26,53.87,4.46,4.33,66.46,12.838589,77.293109,590.49,30.36,-62.31
CARGO_0875,ORDER_478,34.3,37.3,9.9,23.42,Sports,False,Zone_B,4,True,58,49.3,32.2,6.8,10.76,60.7,2.68,9.18,69.68,10.621002,78.405924,55.67,77.79,-44.26
CARGO_0876,ORDER_7,19.0,28.3,6.4,6.6,Clothing,False,Zone_D,5,True,83,22.8,11.5,9.5,14.68,59.0,2.72,4.5,54.63,12.967118,77.244363,985.77,68.02,-82.82
CARGO_0877,ORDER_523,24.8,16.3,1.5,1.45,Books,False,Zone_A,5,True,56,44.0,25.2,2.6,31.48,52.97,3.27,7.44,2.04,12.492869,79.046378,800.02,60.55,-85.59
CARGO_0878,ORDER_87,42.7,35.8,12.6,40.25,Sports,False,Zone_D,5,True,64,40.1,45.6,0.6,29.77,80.35,1.94,4.67,83.79,11.766918,79.371105,868.81,75.46,-69.01
CARGO_0879,ORDER_650,37.7,29.5,15.1,35.0,Electronics,False,Zone_D,1,True,83,16.1,15.4,6.9,10.81,38.72,3.24,2.28,61.76,11.987115,79.887141,694.29,55.52,-69.48
CARGO_0880,ORDER_1192,37.6,29.2,4.5,8.06,Clothing,False,Zone_D,1,True,60,37.1,1.0,4.2,16.66,60.34,0.22,1.99,3.08,11.946478,77.446406,186.05,61.91,-86.41
CARGO_0881,ORDER_502,13.1,24.6,19.0,13.98,Toys,False,Zone_D,1,True,26,14.1,3.5,3.1,16.93,33.72,0.27,4.25,73.69,10.175189,78.597261,31.03,51.87,-58.02
CARGO_0882,ORDER_608,11.3,14.4,7.1,1.92,Beauty,True,Zone_B,3,False,83,5.2,4.1,8.2,30.16,34.27,2.29,7.55,18.02,10.654049,78.702612,864.66,77.39,-98.22
CARGO_0883,ORDER_390,23.2,5.3,19.8,4.28,Electronics,True,Zone_C,4,False,73,26.3,10.7,2.3,10.59,64.43,2.75,6.05,52.13,12.884413,79.76743,396.33,90.13,-58.56
CARGO_0884,ORDER_1062,58.8,29.4,19.9,76.4,Sports,False,Zone_A,2,False,20,43.7,31.7,2.6,13.12,63.96,4.44,6.89,42.0,11.603093,78.88183,263.86,87.27,-72.57
CARGO_0885,ORDER_1041,25.6,17.6,2.1,1.65,Books,False,Zone_B,4,True,29,7.1,42.5,6.5,34.0,82.68,0.52,2.82,37.79,11.135061,77.436529,561.67,82.88,-58.66
CARGO_0886,ORDER_411,23.4,7.9,12.8,4.37,Electronics,False,Zone_D,2,True,89,27.0,26.8,7.6,15.36,63.47,4.11,4.81,80.07,12.286115,78.309054,420.9,21.1,-71.38
CARGO_0887,ORDER_229,42.5,21.1,2.9,5.46,Electronics,False,Zone_B,5,True,95,27.2,16.8,2.2,29.58,87.59,1.05,0.44,39.36,11.573557,78.964288,651.67,92.95,-41.36
CARGO_0888,ORDER_435,57.4,10.4,8.0,10.68,Sports,False,Zone_D,1,True,50,36.4,35.3,0.7,17.15,32.92,1.97,8.18,6.78,10.039488,79.100853,483.79,41.99,-79.92
CARGO_0889,ORDER_196,53.8,7.0,3.2,2.75,Sports,False,Zone_A,3,True,15,5.5,13.3,2.6,12.98,35.88,1.58,9.9,85.2,12.208713,79.589222,697.23,91.04,-41.05
CARGO_0890,ORDER_572,13.6,34.1,12.1,10.7,Electronics,True,Zone_D,5,False,77,11.1,0.5,6.3,17.3,32.64,2.0,4.07,82.85,12.196653,77.541521,853.42,35.76,-96.1
CARGO_0891,ORDER_514,19.3,13.6,2.1,1.0,Beauty,False,Zone_C,2,True,99,12.1,13.2,1.1,31.67,41.12,0.75,0.11,61.6,10.495446,79.854626,195.56,55.17,-58.97
CARGO_0892,ORDER_844,17.3,35.3,16.6,19.32,Electronics,True,Zone_B,1,False,58,15.2,42.5,7.2,35.67,62.48,2.52,1.7,42.11,12.86998,77.177418,329.43,79.95,-72.75
CARGO_0893,ORDER_42,18.6,3.8,4.9,0.76,Beauty,True,Zone_D,2,False,75,15.5,25.0,4.8,34.91,68.73,4.01,6.53,8.36,10.671724,79.951286,436.82,71.22,-50.67
CARGO_0894,ORDER_181,19.5,13.2,9.3,4.18,Beauty,True,Zone_B,3,False,9,5.4,13.6,9.1,21.92,32.74,2.21,6.12,71.17,11.373248,79.573301,962.06,53.27,-52.62
CARGO_0895,ORDER_715,42.7,25.7,15.4,34.0,Home_Appliances,False,Zone_B,1,True,25,32.0,16.6,5.0,30.04,86.76,2.45,7.88,6.79,10.344208,78.980818,365.33,74.29,-51.99
CARGO_0896,ORDER_928,5.5,14.6,8.9,1.71,Beauty,False,Zone_D,5,True,73,8.0,23.7,7.2,16.15,80.53,4.24,2.54,6.17,11.809847,79.204987,381.1,63.92,-94.32
CARGO_0897,ORDER_787,45.1,23.6,11.9,28.96,Sports,False,Zone_C,4,True,90,0.9,39.1,8.5,18.79,47.8,3.53,7.64,48.36,11.126353,77.218076,653.47,42.06,-50.66
CARGO_0898,ORDER_478,57.8,21.8,30.9,90.54,Home_Appliances,False,Zone_C,5,False,94,31.9,48.0,1.4,36.89,34.63,2.45,6.88,14.41,11.05952,77.12444,419.2,71.71,-87.16
CARGO_0899,ORDER_237,22.2,19.0,6.3,4.29,Clothing,False,Zone_A,1,True,69,41.1,11.7,7.6,10.39,40.19,1.29,3.23,0.7,12.480931,77.305297,951.22,36.34,-98.46
CARGO_0900,ORDER_839,58.5,36.0,8.5,31.89,Sports,False,Zone_C,2,True,96,33.5,25.8,9.4,12.57,37.62,4.42,5.45,38.08,10.028685,77.262079,894.47,75.52,-86.94
CARGO_0901,ORDER_885,46.9,37.9,29.0,88.84,Sports,False,Zone_C,2,False,25,2.9,4.7,5.8,16.24,37.4,2.89,1.47,12.35,12.39384,78.642144,513.41,20.25,-71.24
CARGO_0902,ORDER_371,13.0,11.3,1.9,0.6,Books,False,Zone_A,1,True,34,24.3,30.2,0.7,10.8,61.11,1.11,4.53,14.45,11.714346,77.646332,644.78,63.9,-55.47
CARGO_0903,ORDER_994,42.6,40.7,49.8,201.47,Home_Appliances,False,Zone_C,3,False,86,21.8,45.5,8.3,15.44,44.75,1.35,8.81,6.92,12.958296,79.580617,58.03,52.09,-86.88
CARGO_0904,ORDER_731,16.7,6.5,24.5,4.39,Sports,False,Zone_B,1,True,11,41.8,32.4,3.2,27.49,51.49,4.02,4.21,18.46,11.76833,78.337246,695.73,44.25,-93.22
CARGO_0905,ORDER_217,32.9,50.9,26.0,92.64,Home_Appliances,False,Zone_A,3,False,40,47.2,30.6,8.8,22.64,89.37,0.22,8.4,64.39,10.166137,79.086531,707.2,61.26,-61.24
CARGO_0906,ORDER_679,15.0,5.9,11.1,2.04,Toys,False,Zone_C,2,True,1,25.3,32.4,2.6,36.78,71.06,4.96,5.9,72.8,10.151936,78.958619,359.2,71.62,-40.97
CARGO_0907,ORDER_426,24.2,39.8,15.0,31.4,Sports,False,Zone_A,2,True,73,32.5,20.9,4.5,34.52,86.94,0.65,1.92,40.73,12.649459,77.959559,219.68,97.22,-63.95
CARGO_0908,ORDER_963,16.8,5.9,5.7,1.03,Beauty,True,Zone_C,3,False,34,45.9,34.6,1.5,20.25,38.55,3.98,5.81,45.59,12.523642,77.729503,915.08,86.65,-58.54
CARGO_0909,ORDER_317,35.1,16.5,19.9,23.17,Toys,False,Zone_A,5,True,83,46.6,31.2,1.2,17.78,52.93,1.97,5.06,2.94,11.03767,78.027369,426.7,77.37,-66.33
CARGO_0910,ORDER_389,19.9,10.8,1.4,0.71,Books,False,Zone_C,5,True,2,9.3,40.8,8.4,21.39,63.28,2.46,3.99,6.24,11.854097,79.389975,653.71,58.32,-53.06
CARGO_0911,ORDER_266,11.0,25.3,1.2,0.55,Clothing,False,Zone_C,2,True,37,27.0,34.8,9.8,27.71,34.61,4.4,1.2,23.18,11.468774,78.758831,33.33,51.37,-41.45
CARGO_0912,ORDER_467,14.2,8.8,2.4,0.49,Beauty,True,Zone_D,1,False,34,42.9,34.7,1.2,18.04,30.25,2.06,4.17,48.95,12.901492,77.760616,414.07,22.6,-67.35
CARGO_0913,ORDER_541,28.0,25.6,7.3,11.93,Clothing,False,Zone_B,3,True,91,35.1,29.4,0.1,28.72,70.23,2.69,0.73,66.56,12.849883,79.453539,817.26,48.73,-74.99
CARGO_0914,ORDER_189,65.8,23.3,18.6,57.08,Home_Appliances,False,Zone_B,3,False,31,17.3,21.4,4.7,22.28,68.51,0.25,0.99,54.45,12.951517,77.164278,387.58,87.87,-48.38
CARGO_0915,ORDER_568,21.1,18.4,4.0,3.41,Electronics,True,Zone_B,4,False,2,18.1,9.2,10.0,26.56,54.65,0.01,4.16,35.29,12.599346,79.09755,603.16,50.72,-41.82
CARGO_0916,ORDER_63,45.3,23.6,14.2,31.77,Electronics,False,Zone_B,4,True,10,47.7,49.2,0.2,23.08,59.38,1.22,3.05,10.65,12.728655,78.317302,209.86,56.93,-92.25
CARGO_0917,ORDER_592,15.7,8.8,27.6,8.66,Sports,False,Zone_B,1,True,19,13.0,2.0,7.2,18.83,54.93,3.4,9.26,70.27,10.651836,79.193871,416.53,41.75,-65.31
CARGO_0918,ORDER_695,21.1,18.7,4.8,4.06,Clothing,False,Zone_D,4,True,100,38.9,3.6,8.2,38.45,31.44,0.61,3.76,32.74,12.49302,79.782384,927.64,41.93,-52.45
CARGO_0919,ORDER_166,18.9,4.0,5.7,0.92,Beauty,False,Zone_B,3,True,11,42.0,22.2,8.1,32.91,50.12,0.57,7.58,66.24,12.126571,79.250102,566.45,24.95,-68.0
CARGO_0920,ORDER_1116,11.9,13.3,1.3,0.4,Books,False,Zone_A,3,True,71,1.4,30.4,5.7,14.2,40.62,2.05,5.3,46.17,12.88836,78.325896,901.93,69.1,-75.45
CARGO_0921,ORDER_837,15.0,14.8,5.1,1.98,Clothing,False,Zone_B,5,True,53,38.3,39.7,6.3,36.05,35.91,3.24,7.04,66.48,11.713785,77.452927,902.02,55.85,-60.69
CARGO_0922,ORDER_837,26.4,18.9,3.4,3.16,Books,False,Zone_A,3,True,61,49.5,3.6,8.2,24.62,87.4,3.56,2.6,81.66,10.255502,79.419053,944.15,68.48,-83.79
CARGO_0923,ORDER_216,23.8,19.9,3.5,3.17,Books,False,Zone_D,4,True,55,16.2,39.3,3.2,36.84,65.96,0.89,9.42,82.89,11.792197,78.382117,895.39,63.75,-79.05
CARGO_0924,ORDER_781,38.5,34.9,16.2,52.08,Toys,False,Zone_D,1,False,70,38.8,48.0,6.8,34.0,73.72,0.4,5.3,48.16,12.059743,77.225937,3.28,83.91,-40.46
CARGO_0925,ORDER_697,32.2,32.6,20.4,39.69,Sports,False,Zone_B,2,False,92,4.8,41.6,5.3,22.76,48.92,4.7,8.31,46.04,10.660963,79.157166,934.01,80.08,-61.81
